block,variant,applicant_sample,city_sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_diff_y,policy_controls
ddd_robustness,broad,no_individual_no_oneshot,min50,diff_city_year_fe,city_new_share_total_field,0.00845190389029849,0.015556382515515369,0.5433077954896564,0.5869178978415965,,3614,288,-0.04502938291623955,
ddd_robustness,broad,no_individual_no_oneshot,min50,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.004457942073315586,0.018922877721325036,0.23558478467002572,0.8137548812573643,,3614,288,-0.04502938291623955,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,min50,diff_city_year_fe,field_new_share_total_field,0.05058962271820227,0.019981399417088326,2.531835817011767,0.011346710687921847,**,3614,288,0.1266671841372379,
ddd_robustness,broad,no_individual_no_oneshot,min50,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.019228204239278332,0.025170702982064804,0.7639120867215844,0.44491963413666713,,3614,288,0.1266671841372379,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,g06_g16_g10l,all,all,diff_city_year_fe,ln1p_city_new_applicants_field,0.3685687789333628,0.04830114607908059,7.63064251787995,2.33586574830763e-14,***,4647,291,-2.9542362857280633,
ddd_robustness,g06_g16_g10l,all,all,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.17215919677276592,0.04764957691994426,3.613026765421432,0.00030264344983679727,***,4647,291,-2.9542362857280633,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,g06_g16_g10l,all,all,diff_city_year_fe,ln1p_city_new_patents_field,0.4262673229215831,0.058064071890416666,7.341326728274761,2.1148682257147923e-13,***,4647,291,-3.364925833575919,
ddd_robustness,g06_g16_g10l,all,all,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.16999295931801842,0.0560596787917123,3.032356998505487,0.0024265203881654006,***,4647,291,-3.364925833575919,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,g06_g16_g10l,all,all,diff_city_year_fe,city_new_share_total_field,0.022054515725297756,0.016149893336922537,1.3656137081026927,0.17206024167317993,,3889,291,-0.023909746642378313,
ddd_robustness,g06_g16_g10l,all,all,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.0160473568546523,0.018852395332201025,0.8512104998796863,0.3946524311823846,,3889,291,-0.023909746642378313,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,g06_g16_g10l,all,all,diff_city_year_fe,field_new_share_total_field,0.01408359703920458,0.01774720414848617,0.7935670836584086,0.4274475013903422,,3889,291,0.13939655797427486,
ddd_robustness,g06_g16_g10l,all,all,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.017293820593247328,0.020835565344417998,0.8300144636046782,0.40653060614275555,,3889,291,0.13939655797427486,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,g06_g16_g10l,all,min20,diff_city_year_fe,ln1p_city_new_applicants_field,0.3085722146736445,0.050070837137738355,6.162713314035523,7.150890323353915e-10,***,4453,291,-3.0141242263440597,
ddd_robustness,g06_g16_g10l,all,min20,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.14200912665459903,0.04681751716323198,3.0332477085334535,0.0024193691694671254,***,4453,291,-3.0141242263440597,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,g06_g16_g10l,all,min20,diff_city_year_fe,ln1p_city_new_patents_field,0.3557915213737371,0.06007591144221914,5.922365767449679,3.1734281392505205e-09,***,4453,291,-3.4347615123360375,
ddd_robustness,g06_g16_g10l,all,min20,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.13458531895617376,0.05500960076154165,2.446578726131478,0.014421929727653186,**,4453,291,-3.4347615123360375,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,g06_g16_g10l,all,min20,diff_city_year_fe,city_new_share_total_field,0.028148728044928222,0.015575957289181524,1.8071908854346483,0.07073252158455214,*,3860,291,-0.024016633107192042,
ddd_robustness,g06_g16_g10l,all,min20,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.019629699878105023,0.01871070516529565,1.049115984923642,0.2941247399448462,,3860,291,-0.024016633107192042,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,g06_g16_g10l,all,min20,diff_city_year_fe,field_new_share_total_field,0.023442496007389808,0.017063123636577804,1.3738689648322477,0.16948236607627223,,3860,291,0.1402575168032132,
