year,city,applicant,patents,scope,applicant_type_rough,rank_city_year
2021,万宁,中国热带农业科学院香料饮料研究所,10,inv_app_appyear,research_institute,1
2021,万宁,海南口味王科技发展有限公司,6,inv_app_appyear,firm,2
2021,万宁,汤雪蜂,4,inv_app_appyear,likely_individual,3
2021,万宁,海南电网有限责任公司万宁供电局,4,inv_app_appyear,firm,4
2021,万宁,欧哲高,2,inv_app_appyear,likely_individual,5
2021,万宁,沈昊,2,inv_app_appyear,likely_individual,6
2021,万宁,万宁科健南药科技发展有限公司,1,inv_app_appyear,firm,7
2021,万宁,中国医学科学院药用植物研究所海南分所,1,inv_app_appyear,research_institute,8
2021,万宁,刘善云,1,inv_app_appyear,likely_individual,9
2021,万宁,宋民杰,1,inv_app_appyear,likely_individual,10
2021,万宁,海南万诺水产科技有限公司,1,inv_app_appyear,firm,11
2021,万宁,海南兴科热带作物工程技术有限公司,1,inv_app_appyear,firm,12
2021,万宁,海南吉纳客咖啡有限公司,1,inv_app_appyear,firm,13
2022,万宁,中国热带农业科学院香料饮料研究所,26,inv_app_appyear,research_institute,1
2022,万宁,中国医学科学院药用植物研究所海南分所,16,inv_app_appyear,research_institute,2
2022,万宁,海南德名声科技有限责任公司,5,inv_app_appyear,firm,3
2022,万宁,大唐万宁天然气发电有限责任公司,3,inv_app_appyear,firm,4
2022,万宁,海南海辰水产有限公司,3,inv_app_appyear,firm,5
2022,万宁,海南电网有限责任公司万宁供电局,2,inv_app_appyear,firm,6
2022,万宁,李惠琼,1,inv_app_appyear,likely_individual,7
2022,万宁,杨添章,1,inv_app_appyear,likely_individual,8
2022,万宁,陈雅媛,1,inv_app_appyear,likely_individual,9
2022,万宁,马晓霞,1,inv_app_appyear,likely_individual,10
2023,万宁,中国热带农业科学院香料饮料研究所,14,inv_app_appyear,research_institute,1
2023,万宁,中国医学科学院药用植物研究所海南分所,10,inv_app_appyear,research_institute,2
2023,万宁,大唐万宁天然气发电有限责任公司,6,inv_app_appyear,firm,3
2023,万宁,海南小洋侨科技有限公司,5,inv_app_appyear,firm,4
2023,万宁,海南万州绿色制药有限公司,4,inv_app_appyear,firm,5
2023,万宁,海南电网有限责任公司万宁供电局,4,inv_app_appyear,firm,6
2023,万宁,万宁市海建装配式建筑工程有限公司,2,inv_app_appyear,firm,7
2023,万宁,万宁沐舍科技有限公司,2,inv_app_appyear,firm,8
2023,万宁,海南嘉禄旺农业生物有限公司,2,inv_app_appyear,firm,9
2023,万宁,程鑫,2,inv_app_appyear,likely_individual,10
2023,万宁,万宁嘉德兴盛建材有限责任公司,1,inv_app_appyear,firm,11
2023,万宁,万宁大丰收实业有限公司,1,inv_app_appyear,firm,12
2023,万宁,万宁栎社科技有限公司,1,inv_app_appyear,firm,13
2023,万宁,万宁穿山乙科技有限公司,1,inv_app_appyear,firm,14
2023,万宁,叶庆元,1,inv_app_appyear,likely_individual,15
