city,year,applicant_norm,clean_type,patents,applicant,rank_city_year
锦州,2015,刘泽宇,individual,3,刘泽宇,12
锦州,2015,刘长平,individual,3,刘长平,13
锦州,2015,孙华明,individual,3,孙华明,14
锦州,2015,梁双林,individual,3,梁双林,15
锦州,2015,辽宁医学院附属第一医院,hospital,3,辽宁医学院附属第一医院,16
锦州,2015,辽宁春光机械有限公司,firm,3,辽宁春光机械有限公司,17
锦州,2015,锦州钛业有限公司,firm,3,锦州钛业有限公司,18
锦州,2015,凌海科诚电力电器制造有限责任公司,firm,2,凌海科诚电力电器制造有限责任公司,19
锦州,2015,刘玉民,individual,2,刘玉民,20
锦州,2016,渤海大学,univ,172,渤海大学,1
锦州,2016,辽宁工业大学,univ,77,辽宁工业大学,2
锦州,2016,国网辽宁省电力有限公司锦州供电公司,firm,20,国网辽宁省电力有限公司锦州供电公司,3
锦州,2016,锦州医科大学,univ,20,锦州医科大学,4
锦州,2016,辽宁石化职业技术学院,univ,13,辽宁石化职业技术学院,5
锦州,2016,杜志刚,individual,12,杜志刚,6
锦州,2016,杨明,individual,11,杨明,7
锦州,2016,李勇军,individual,9,李勇军,8
锦州,2016,辽宁润生康泰生物医药科技有限公司,firm,9,辽宁润生康泰生物医药科技有限公司,9
锦州,2016,锦州汉拿电机有限公司,firm,9,锦州汉拿电机有限公司,10
锦州,2016,门丫,individual,8,门丫,11
锦州,2016,锦州东方雨虹建筑材料有限责任公司,firm,7,锦州东方雨虹建筑材料有限责任公司,12
锦州,2016,中信锦州金属股份有限公司,firm,6,中信锦州金属股份有限公司,13
锦州,2016,锦州锦恒汽车安全系统有限公司,firm,6,锦州锦恒汽车安全系统有限公司,14
锦州,2016,何韶衡,individual,5,何韶衡,15
锦州,2016,张晓光,individual,5,张晓光,16
锦州,2016,王淑娟,individual,5,王淑娟,17
锦州,2016,锦州钛业有限公司,firm,4,锦州钛业有限公司,18
锦州,2016,北镇市青岩节能设备制造有限公司,firm,3,北镇市青岩节能设备制造有限公司,19
锦州,2016,尹德欣,individual,3,尹德欣,20
锦州,2017,辽宁工业大学,univ,98,辽宁工业大学,1
锦州,2017,渤海大学,univ,94,渤海大学,2
锦州,2017,国网辽宁省电力有限公司锦州供电公司,firm,21,国网辽宁省电力有限公司锦州供电公司,3
锦州,2017,锦州医科大学,univ,11,锦州医科大学,4
锦州,2017,孙华明,individual,9,孙华明,5
锦州,2017,石亮,individual,8,石亮,6
锦州,2017,中信锦州金属股份有限公司,firm,6,中信锦州金属股份有限公司,7
锦州,2017,刘洋,individual,6,刘洋,8
锦州,2017,锦州新兴石油添加剂有限责任公司,firm,6,锦州新兴石油添加剂有限责任公司,9
锦州,2017,韩梅,individual,6,韩梅,10
锦州,2017,锦州景良动物药业有限公司,firm,5,锦州景良动物药业有限公司,11
锦州,2017,锦州钛业股份有限公司,firm,5,锦州钛业股份有限公司,12
锦州,2017,黄萍,individual,5,黄萍,13
锦州,2017,曾文生,individual,4,曾文生,14
锦州,2017,李勇军,individual,4,李勇军,15
锦州,2017,王嘉仪,individual,4,王嘉仪,16
锦州,2017,还童(锦州)特殊医学用途配方食品有限公司,firm,4,还童(锦州)特殊医学用途配方食品有限公司,17
锦州,2017,锦州清华机械有限公司,firm,4,锦州清华机械有限公司,18
锦州,2017,陈芳,individual,4,陈芳,19
锦州,2017,张颖,individual,3,张颖,20
锦州,2018,辽宁工业大学,univ,175,辽宁工业大学,1
锦州,2018,渤海大学,univ,90,渤海大学,2
锦州,2018,国网辽宁省电力有限公司锦州供电公司,firm,19,国网辽宁省电力有限公司锦州供电公司,3
锦州,2018,锦州医科大学,univ,18,锦州医科大学,4
锦州,2018,石亮,individual,10,石亮,5
锦州,2018,辽宁汇普源生物医学科技开发有限责任公司,firm,10,辽宁汇普源生物医学科技开发有限责任公司,6
锦州,2018,锦州紫金药业有限公司,firm,8,锦州紫金药业有限公司,7
锦州,2018,杨旭,individual,6,杨旭,8
锦州,2018,锦州医科大学附属第一医院,hospital,6,锦州医科大学附属第一医院,9
锦州,2018,中科矿山设备有限公司,firm,5,中科矿山设备有限公司,10
锦州,2018,周雨馨,individual,5,周雨馨,11
锦州,2018,张萍,individual,5,张萍,12
锦州,2018,锦州同创真空冶金科技有限公司,firm,5,锦州同创真空冶金科技有限公司,13
锦州,2018,中信钛业股份有限公司,firm,4,中信钛业股份有限公司,14
锦州,2018,中信锦州金属股份有限公司,firm,4,中信锦州金属股份有限公司,15
锦州,2018,冷光君,individual,4,冷光君,16
锦州,2018,辽宁石化职业技术学院,univ,4,辽宁石化职业技术学院,17
锦州,2018,锦州笔架山食品有限公司,firm,4,锦州笔架山食品有限公司,18
锦州,2018,锦州英诺威科技服务有限公司,firm,4,锦州英诺威科技服务有限公司,19
