applicant_norm,clean_type,applicant,top_patents,top_rows,city_count,max_city_year_patents
南充市中心医院,hospital,南充市中心医院,110,5,1,36
杨林,individual,杨林,109,3,2,99
湖北三峡实验室,research,湖北三峡实验室,109,2,1,87
化学与精细化工广东省实验室,research,化学与精细化工广东省实验室,109,3,1,53
任立蓬,individual,任立蓬,109,3,1,44
陈伟,individual,陈伟,107,5,5,75
凌宏一,individual,凌宏一,107,5,1,48
荣成市科学技术情报研究所,research,荣成市科学技术情报研究所,107,3,1,43
侯国山,individual,侯国山,107,6,1,37
上海医药工业研究院,research,上海医药工业研究院,105,1,1,105
南阳市第二人民医院,hospital,南阳市第二人民医院,105,2,1,72
王少夫,individual,王少夫,105,2,2,64
吴志锋,individual,吴志锋,105,3,1,59
王永帮,individual,王永帮,105,2,1,55
朱海燕,individual,朱海燕,105,2,1,54
中国地震局工程力学研究所,research,中国地震局工程力学研究所,105,2,1,53
张敬敏,individual,张敬敏,105,3,1,42
朱幕松,individual,朱幕松,105,5,1,25
廖奕熙,individual,廖奕熙,104,1,1,104
张婷,individual,张婷,104,3,2,53
刘素华,individual,刘素华,104,5,1,35
日照市中医医院,hospital,日照市中医医院,104,5,1,34
马同金,individual,马同金,104,6,1,33
汕头大学医学院第一附属医院,hospital,汕头大学医学院第一附属医院,104,7,1,30
陶春有,individual,陶春有,103,1,1,103
梁嘉麟,individual,梁嘉麟,103,2,1,61
谢小燕,individual,谢小燕,103,4,1,40
王辉,individual,王辉,103,9,6,33
汤汉忠,individual,汤汉忠,102,1,1,102
王胜,individual,王胜,102,1,1,102
苟和平,individual,苟和平,102,1,1,102
袁春华,individual,袁春华,102,1,1,102
刘乐凝,individual,刘乐凝,102,2,1,62
苟晓龙,individual,苟晓龙,102,5,1,50
罗梅,individual,罗梅,102,3,1,49
高云芝,individual,高云芝,102,4,1,36
李霞,individual,李霞,101,1,1,101
罗道仟,individual,罗道仟,101,1,1,101
中国林业科学研究院林产化学工业研究所,research,中国林业科学研究院林产化学工业研究所,101,2,1,68
朱艳菊,individual,朱艳菊,101,4,1,52
雷建设,individual,雷建设,101,8,1,23
占协琼,individual,占协琼,100,1,1,100
易大军,individual,易大军,100,1,1,100
李颂,individual,李颂,100,1,1,100
蔡紫林,individual,蔡紫林,100,1,1,100
国家烟草质量监督检验中心,other,国家烟草质量监督检验中心,100,2,1,76
李俊,individual,李俊,100,6,5,65
周俊雄,individual,周俊雄,100,3,1,59
罗永祺,individual,罗永祺,100,2,1,50
初明进,individual,初明进,99,1,1,99
汤彬,individual,汤彬,99,1,1,99
潘文进,individual,潘文进,99,1,1,99
田建频,individual,田建频,99,1,1,99
王晓杰,individual,王晓杰,99,2,1,56
孔令国,individual,孔令国,99,3,1,43
中国地质调查局水文地质环境地质调查中心,other,中国地质调查局水文地质环境地质调查中心,99,7,1,31
