symbol,year,patent_count_dedup,invention_count_dedup,strict_ai_title_all_count,ai_compute_title_all_count,strict_ai_title_invention_count,ai_compute_title_invention_count
001366,2022.0,1,1,0,0,0,0
001366,2023.0,4,4,0,0,0,0
001366,2024.0,1,1,0,0,0,0
001367,2020.0,1,1,0,0,0,0
001367,2021.0,1,1,0,0,0,0
001367,2023.0,1,1,0,0,0,0
001378,2009.0,3,3,0,0,0,0
001378,2019.0,1,1,0,0,0,0
001378,2022.0,1,1,0,0,0,0
001387,2020.0,4,0,0,0,0,0
001387,2021.0,1,0,0,0,0,0
001389,2022.0,7,7,0,0,0,0
001389,2023.0,1,1,0,0,0,0
001389,2024.0,1,1,0,0,0,0
001696,2001.0,1,0,0,0,0,0
002001,2002.0,1,1,0,0,0,0
002001,2006.0,10,8,0,0,0,0
002001,2007.0,2,2,0,0,0,0
002001,2008.0,4,3,0,0,0,0
002001,2019.0,1,1,0,0,0,0
002001,2020.0,2,2,0,0,0,0
002002,2010.0,1,1,0,0,0,0
002002,2015.0,1,1,0,0,0,0
002002,2017.0,1,1,0,0,0,0
002003,2006.0,1,0,0,0,0,0
002003,2007.0,7,0,0,0,0,0
002003,2008.0,20,6,0,0,0,0
